ingredient,frequency,harm_level,harm_score
amido modificato,526,moderate,2
carvi,526,moderate,2
conservateur propionate de calcium,526,moderate,2
cocoa liquor,526,safe,1
vri,526,moderate,2
vinaigre de table,526,moderate,2
especiarias,526,moderate,2
mostaza,525,moderate,2
preservative sodium nitrite,525,hazardous,4
lait crm pasteuris,525,moderate,2
organic kale,525,moderate,2
bicarbonate dammonium,525,moderate,2
sucre de canne roux,525,moderate,2
dont bl,525,moderate,2
dehydrated potatoes,524,moderate,2
natural colours,524,moderate,2
lvaline,523,moderate,2
rice protein,523,safe,1
black olives,523,moderate,2
lentils,523,moderate,2
conservateur nitrate de potassium,523,hazardous,4
aromer,523,moderate,2
syra,523,moderate,2
enriched pasta,522,moderate,2
cultured whey,522,moderate,2
cracked wheat,521,safe,1
sunflower andor canola oil,521,moderate,2
lait de coco,521,moderate,2
en poudre,520,moderate,2
alphaisomethyl ionone,520,moderate,2
os de porc,520,moderate,2
leche pasteurizada de vaca,520,moderate,2
frutta a guscio,520,moderate,2
caramel ordinaire,519,moderate,2
partially inverted sugar syrup,518,moderately high,3
malt de bl,518,moderate,2
orange juice from concentrate,518,moderate,2
humectants,518,moderate,2
glycerol ester of rosin,518,moderate,2
natamycin a natural mold inhibitor,518,moderate,2
evaporated milk,518,safe,1
citrus fibre,518,moderate,2
perejil,517,moderate,2
parsley flakes,517,moderate,2
lactoserum,517,moderate,2
fibra vegetal,517,moderate,2
crustacean,516,moderate,2
electrolyte,516,moderate,2
poudre de tomate,516,moderate,2
gomme de cellulose,516,moderate,2
com,515,moderate,2
calcium stearoyl lactylate,515,moderate,2
mjlk,515,moderate,2
rebaudioside a,514,moderate,2
emulgatoren mono und diglyceride von speisefettsuren,514,moderate,2
piment doux,514,moderate,2
organic raisins,514,moderate,2
oeufs entiers,514,moderate,2
zucchero di canna,514,moderate,2
suerungsmittel milchsure,514,moderate,2
hydrated silica,513,moderate,2
hydroxypropyl methylcellulose,513,moderate,2
whole milk solids,513,safe,1
czosnek,513,moderate,2
gewrz,513,moderate,2
gemodificeerd maiszetmeel,513,moderate,2
choline bitartrate,512,moderate,2
melkzuur,512,moderate,2
black pepper extract,511,moderate,2
chicory root fibre,511,moderate,2
magnesium citrate,511,moderate,2
extracto de malta,511,moderate,2
vegetable fiber,510,moderate,2
protine de soja,510,moderate,2
organic carrot,510,safe,1
voedingszuren,510,moderate,2
extrait de malt,510,moderate,2
organic cocoa,509,safe,1
lattosio,509,moderate,2
vegetable glycerine,509,moderate,2
acidificante,509,moderate,2
acide sorbique,509,moderate,2
citral,509,moderate,2
mechanically separated turkey,508,moderate,2
crushed red pepper,508,safe,1
propylene glycol monoesters,507,hazardous,4
natural sweetener,507,moderately high,3
tarwemeel,507,moderate,2
rookaroma,507,moderate,2
olio extra vergine di oliva,506,moderate,2
aluminum sulfate,506,moderate,2
leche entera,506,moderate,2
gerstemoutextract,506,moderate,2
cloruro de calcio,505,moderate,2
schweiz,505,moderate,2
vegan,505,moderate,2
druvsocker,505,moderate,2
concentr de carotte,505,moderate,2
sweet whey powder,504,moderate,2
leinsamen,504,moderate,2
vitamin and mineral blend,504,moderate,2
mysepulver,503,moderate,2
cultured pasteurized skim milk,503,safe,1
kartoffelflocken,503,moderate,2
chocolate liquor processed with alkali,502,safe,1
beetroot,502,moderate,2
hot sauce,502,moderate,2
fecola di patate,502,moderate,2
molkenpulver,502,moderate,2
enoilandfat,502,moderate,2
envegan,502,moderate,2
magnsium,501,moderate,2
lglutamine,501,moderate,2
chlorure de sodium,501,moderate,2
suero de leche,501,moderate,2
beef gelatine,501,moderate,2
table salt,501,safe,1
coriander leaf,500,safe,1
carotene,500,moderate,2
cashewkerne,500,moderate,2
muskat,500,moderate,2
aliments dorigine vgtale,500,moderate,2
ajo en polvo,499,moderate,2
reb a,499,moderate,2
rocou,499,moderate,2
triticale,498,moderate,2
in varying proportions,498,moderate,2
espesantes,498,moderate,2
oranges,498,moderate,2
organic parsley,498,moderate,2
nitrate de potassium,498,hazardous,4
jaja,498,moderate,2
pea fibre,497,moderate,2
with wheatflour,497,moderate,2
piment rouge,497,moderate,2
organic cane syrup,497,moderate,2
pepitas,497,moderate,2
emulgator lecytyny,497,moderate,2
acesulfaamk,497,moderate,2
ensugarsinhighquantity,497,moderate,2
sladkor,496,moderate,2
yogurt cultures,496,moderate,2
copper sulfate,496,moderate,2
corn starchmodified,496,safe,1
frtjockningsmedel,496,moderate,2
cido mlico,495,moderate,2
glucono delta lactone,495,moderate,2
harina de trigo fortificada,495,moderate,2
suerungskulturen,495,moderate,2
rypsiljy,495,moderate,2
erbsen,494,moderate,2
alcool thylique,494,moderate,2
pain azyme,494,moderate,2
enmilk,494,moderate,2
cloruro de potasio,493,moderate,2
koji,493,moderate,2
cooked chicken,493,safe,1
antioxidant e,493,moderate,2
cafine,493,moderate,2
vetemjl,493,moderate,2
boyau naturel de porc,492,moderate,2
sureregulator natriumcitrate,492,moderate,2
fermenti lattici vivi,492,moderate,2
dioxyde de carbone,491,moderate,2
natural and artificial flavour,491,moderately high,3
cerise,491,moderate,2
salt and enzymes,490,safe,1
natural vanilla flavour,490,moderate,2
agents denrobage,490,moderate,2
hop,490,moderate,2
matire grasse de palme,490,moderate,2
crme fraiche,489,moderate,2
cebolla en polvo,489,moderate,2
lactase enzyme,489,moderate,2
vit b,488,moderate,2
seeds,488,moderate,2
barley flakes,488,safe,1
arabic gum,488,moderate,2
patate,488,moderate,2
farine davoine,487,moderate,2
garlic extract,487,moderate,2
aubergines,487,moderate,2
yellow onion,487,safe,1
olio di palma,487,moderate,2
viande de boeuf,487,moderate,2
glukozni sirup,487,moderate,2
regulator kwasowoci,487,moderate,2
kaliumjodid,486,moderate,2
bicarbonate de soude,486,moderate,2
amido de milho,486,moderate,2
si ncessaire pour rguler lacidit,486,moderate,2
substances laitires modifies,485,moderate,2
fcula de patata,485,moderate,2
honey powder,484,moderate,2
hydrolysed vegetable protein,484,moderate,2
fruit extract,484,moderate,2
chicken breast meat with rib meat,484,safe,1
ground spices,484,moderate,2
blueberry puree,484,moderate,2
vis,484,moderate,2
nigari,484,moderate,2
aroma naturale di vaniglia,483,moderate,2
ground turmeric,483,safe,1
buf,483,moderate,2
geliermittel pektine,483,moderate,2
lait pasteuris de vache,482,moderate,2
basmati rice,482,safe,1
cooked chickpeas,482,moderate,2
scharrelei,482,moderate,2
seasoning salt,481,safe,1
amidon de froment,481,moderate,2
cracked black pepper,480,safe,1
gorge de porc,480,moderate,2
liquide,480,moderate,2
butternut squash,479,moderate,2
brandy,479,moderate,2
sojamehl,479,moderate,2
theragra chalcogramma,479,moderate,2
magnesium carbonate,478,moderate,2
cianocobalamina,478,moderate,2
paississant gomme guar,478,moderate,2
cellulase,477,moderate,2
used to protect quality,477,moderate,2
poire,477,moderate,2
glifiants,477,moderate,2
sulfate de cuivre,476,moderate,2
malt flavor,476,moderate,2
green olives,476,moderate,2
glukzov sirup,476,moderate,2
cacao en pte,476,moderate,2
non fat dry milk,475,safe,1
reguladores de acidez,475,moderate,2
corces dorange,474,moderate,2
vegetable oil blend,474,moderate,2
iron ferrous sulfate,474,moderate,2
lemon zest,474,safe,1
methyl cellulose,474,moderate,2
enzimas,473,moderate,2
slunenicov olej,473,moderate,2
maisstivelse,472,moderate,2
glycol distearate,472,moderate,2
currants,472,moderate,2
kardamom,472,moderate,2
contient cleri,471,moderate,2
pfelsure,471,moderate,2
aroma natural de vainilla,471,moderate,2
and citric acid,471,moderate,2
garbanzo beans,471,moderate,2
raisin paste,471,moderate,2
semoule de riz,471,moderate,2
glycerol ester of wood rosin,470,moderate,2
organic agave syrup,470,moderate,2
pine nuts,470,moderate,2
cinnamon powder,470,moderate,2
ferment,470,moderate,2
gomme de caroube,469,moderate,2
baking soda andor calcium phosphate,469,moderately high,3
gluten free oats,469,moderate,2
leavening agents,469,moderate,2
carotenos,469,moderate,2
sucre roux de canne,469,moderate,2
shea oil,468,moderate,2
swiss cheese,468,safe,1
black carrot,468,safe,1
kelp extract,468,moderate,2
acide actique,468,moderate,2
organic wheat gluten,467,safe,1
calcium disodium edta preservative,467,hazardous,4
disodium dihydrogen pyrophosphate,467,moderate,2
alcohol denat,467,moderate,2
acidulantes,467,moderate,2
carraghnane,467,moderate,2
brown rice protein,466,safe,1
glycine,466,moderate,2
citrate de calcium,466,moderate,2
white mineral oil,466,moderate,2
cultured pasteurized nonfat milk,466,safe,1
fructose syrup,466,moderately high,3
flocons de pommes de terre,466,moderate,2
fortified wheat flour wheat flour,465,safe,1
geschmacksverstrker,465,moderate,2
pimento,465,moderate,2
crcuma,465,moderate,2
poudres lever diphosphates et carbonates de sodium,465,moderate,2
citrate trisodique,465,moderate,2
amidon de pois,465,moderate,2
beurre fondu,465,moderate,2
konservierungsstoffe,464,moderate,2
iodate de potassium,464,moderate,2
ferrous sulfate iron,464,moderate,2
degermed yellow corn meal,464,safe,1
milled corn,464,safe,1
lait en poudre entier,464,moderate,2
cebada,464,moderate,2
lecithinen,464,moderate,2
basilicum,464,moderate,2
ferments lactiques et daffinage,464,moderate,2
cayennepeper,464,moderate,2
salz unjodiert,464,moderate,2
enspain france,464,moderate,2
semoule de bl,463,moderate,2
ferrous gluconate,463,moderate,2
coffee extract,463,moderate,2
usa,463,moderate,2
fves de soja,463,moderate,2
ltheanine,462,moderate,2
gadus morhua,462,moderate,2
majoran,462,moderate,2
pois,462,moderate,2
citrus pectin,461,moderate,2
gum blend,461,moderate,2
appelzuur,461,moderate,2
lcithine de soya,461,moderate,2
apple powder,461,moderate,2
estabilizadores,461,moderate,2
pflanzliches l,461,moderate,2
paneermeel,461,moderate,2
sarriette,461,moderate,2
sparkling water,460,safe,1
apfelessig,460,moderate,2
sardina pilchardus,460,moderate,2
extrait naturel de vanille,460,moderate,2
olio di colza,459,moderate,2
concentrated grape must,459,safe,1
sucrose acetate isobutyrate,459,moderate,2
natuurlijk vanillearoma,459,moderate,2
skummetmelkpulver,458,moderate,2
water chestnuts,458,safe,1
organic maple syrup,458,moderate,2
eau filtre,458,moderate,2
acid citric,458,moderate,2
manzana,458,moderate,2
kardemom,458,moderate,2
ingrdients,457,moderate,2
lait crm concentr,457,moderate,2
jst,457,moderate,2
varkensvlees,457,moderate,2
vainillina,456,moderate,2
spring onion,456,safe,1
pasteurized organic milk,456,safe,1
karamell,456,moderate,2
pasteurisierte milch,456,moderate,2
acide tartrique,456,moderate,2
extrait de houblon,456,moderate,2
glatine bovine,456,moderate,2
contains one or more of the following canola,455,moderate,2
almidn de trigo,455,moderate,2
packaging photo selected,455,moderate,2
date paste,454,moderate,2
pure vanilla extract,454,moderate,2
amidon modifi de manioc,454,moderate,2
humectant glycrol,454,moderate,2
raw sugar,454,moderately high,3
with tbhq for freshness,454,hazardous,4
disodium inosinate and guanylate,454,moderately high,3
aged cayenne red peppers,454,moderate,2
koolzuurhoudend water,454,safe,1
allergy advice for allergens,454,moderate,2
aloe barbadensis leaf juice,453,moderate,2
yellow corn meal,453,safe,1
beet,452,moderate,2
beet juice,452,moderate,2
uien,452,moderate,2
rapsiljy,452,moderate,2
verdickungsmittel johannisbrotkernmehl,452,moderate,2
hazelnut paste,451,moderate,2
sorbic acid preservative,451,moderately high,3
margarine vgtale,451,moderate,2
vanilla beans,450,safe,1
noix de coco rpe,450,moderate,2
weizenvollkornmehl,450,moderate,2
betterave rouge,450,moderate,2
emulgator e,450,moderate,2
organic sunflower lecithin,449,moderate,2
organic cashews,449,moderate,2
red pepper powder,449,moderate,2
vinaigre de riz,449,moderate,2
rijst,449,moderate,2
pte,448,moderate,2
palm olein,448,moderate,2
huile de ssame,448,moderate,2
amidon modifi de tapioca,448,moderate,2
red onions,447,moderate,2
fresh cucumbers,447,moderate,2
butyrospermum parkii,447,moderate,2
org,447,moderate,2
endairy,447,moderate,2
potetstivelse,446,moderate,2
cane syrup,446,moderate,2
ground white pepper,446,safe,1
butteroil,446,moderate,2
controls acidity,446,moderate,2
radicchio,446,moderate,2
maiszetmeel,446,moderate,2
cassava flour,445,moderate,2
cultivos lcticos,445,moderate,2
ammoniumhydrogencarbonat,445,moderate,2
oignons dshydrats,445,moderate,2
origins completed,445,moderate,2
maltodekstryna,444,moderate,2
tomatenpoeder,444,moderate,2
crme liquide,444,moderate,2
xarope de glicose,444,moderate,2
jodioitu suola,444,moderate,2
white cheddar cheese,443,safe,1
white sugar,443,moderately high,3
sesame tahini,443,safe,1
curcumina,443,moderate,2
protenas de la leche,443,moderate,2
hafer,443,moderate,2
guarpitmeel,443,moderate,2
double concentr de tomates,443,moderate,2
meelverbeteraar,443,moderate,2
oatmeal,442,moderate,2
natural spices,442,moderate,2
actates de sodium,442,moderate,2
jalapeo peppers,441,moderate,2
raspberry juice concentrate,441,moderate,2
green chiles,441,moderate,2
psyllium husk,441,moderate,2
phosphates de calcium,441,moderate,2
organic vanilla,440,safe,1
organic potato starch,440,moderate,2
low moisture part skim mozzarella cheese,440,safe,1
betterave,440,moderate,2
citrate de potassium,439,moderate,2
modifisert stivelse,439,moderate,2
dried tomato,439,safe,1
tuz,439,moderate,2
condiment,439,moderate,2
apfelsaft,439,moderate,2
graisse vgtale de coprah,439,moderate,2
biotina,438,moderate,2
added to prevent caking,438,moderate,2
fish sauce,438,safe,1
american cheese,438,safe,1
schlagsahne,438,moderate,2
pimienta negra,438,moderate,2
weiweinessig,438,moderate,2
valkosipuli,438,moderate,2
ennutriscore,438,moderate,2
polidextrosa,437,moderate,2
carrageenan gum,437,moderately high,3
grasa de palma,437,moderate,2
mono en diglyceriden van vetzuren,437,moderate,2
cocco,437,moderate,2
rijstmeel,437,moderate,2
farbstoff carotin,437,moderate,2
dried red bell pepper,436,safe,1
orangensaft aus orangensaftkonzentrat,436,moderate,2
groente,436,moderate,2
envegetableoilandfat,436,moderate,2
mushroom powder,435,moderate,2
yeast powder,435,moderate,2
natriumcitrat,435,moderate,2
de graines de ssame,435,moderate,2
apio,435,moderate,2
part skim milk,435,safe,1
extrait de noix de coco,435,moderate,2
coating,434,moderate,2
natural and artificial flavours,434,moderate,2
coconut milk powder,434,moderate,2
mineral,434,moderate,2
protine de pois,433,moderate,2
soro de leite em p,433,moderate,2
helianthus annuus,432,moderate,2
unbleached enriched wheat flour flour,432,safe,1
farine de fves,432,moderate,2
nongmo canola oil,432,moderate,2
sirop de maltitol,432,moderate,2
acidifiants acide citrique,431,moderate,2
huile vgtale de tournesol,431,moderate,2
vitamins and minerals,430,moderate,2
tea,430,safe,1
organic cocoa powder,430,moderate,2
toasted sesame oil,430,moderate,2
caramelized sugar,430,moderately high,3
fosfato triclcico,430,moderate,2
italy,430,moderate,2
semoule de bl dur de qualit suprieure,430,moderate,2
maltodextrines,429,moderate,2
organic oregano,429,moderate,2
kse,429,moderate,2
eker,429,moderate,2
kruidnagel,429,moderate,2
karamel,429,moderate,2
myrtille,428,moderate,2
mature cheddar cheese,428,safe,1
fisch,428,moderate,2
europe,428,moderate,2
protena de soja,428,moderate,2
grasas vegetales,428,moderate,2
aromatizantes,428,moderate,2
butter flavor,427,moderate,2
cido pantotnico,427,moderate,2
phytonadione,427,moderate,2
tijm,427,moderate,2
ensaturatedfatinhighquantity,427,moderate,2
photos validated,427,moderate,2
e a,426,moderate,2
hevemiddel,426,moderate,2
saborizantes,426,moderate,2
cheese sauce,426,safe,1
ferric phosphate,426,moderately high,3
ascorbinezuur e,426,moderate,2
vanilla powder,425,moderate,2
margarina,425,moderate,2
myrtilles,425,moderate,2
verdickungsmittel carrageen,425,moderate,2
sssmolkenpulver,425,moderate,2
natural lemon flavor,425,moderate,2
calcium acetate,425,moderate,2
propionate de calcium,425,moderate,2
sipuli,425,moderate,2
natural smoke flavoring,424,moderate,2
added to preserve freshness,424,moderate,2
organic strawberries,424,moderate,2
kalamata olives,424,moderate,2
aroma de humo,424,moderate,2
apricot,423,moderate,2
soybean oil andor canola oil,423,moderate,2
beurre laitier concentr,423,moderate,2
sunset yellow fcf,423,moderately high,3
ground nutmeg,422,safe,1
stremsel,422,moderate,2
fiber,422,moderate,2
leo vegetal,422,moderate,2
long grain rice,422,safe,1
lgumes dshydrats,422,moderate,2
kleurstof carotenen,422,moderate,2
olives vertes,422,moderate,2
eau minrale naturelle,422,moderate,2
fresa,421,moderate,2
zitronenschalen,421,moderate,2
actate de sodium,421,moderate,2
dufs,421,moderate,2
oli vegetali,420,moderate,2
sweetcorn,420,moderate,2
organic chocolate liquor,420,safe,1
processing aid,420,moderate,2
enthalten milch,420,moderate,2
organic dates,420,moderate,2
concentr,420,moderate,2
lowfat milk,419,safe,1
ground beef,419,moderate,2
gelificante pectina,419,moderate,2
kochsalz jodiert,419,moderate,2
potassium bromate,418,hazardous,4
whole grain corn,418,safe,1
organic nonfat milk,418,safe,1
organic pumpkin seeds,418,moderate,2
seasonings,418,moderate,2
organic high oleic sunflower oil,418,moderate,2
sakeuttamisaine,418,moderate,2
frbende lebensmittel,418,moderate,2
vegetabilsk olje,417,moderate,2
vegetable stock,417,moderate,2
organic oats,417,moderate,2
zuurteregelaar citroenzuur,417,moderate,2
magere cacaopoeder,417,moderate,2
soyalecitin,416,moderate,2
seler,416,moderate,2
sorbato de potssio,416,moderate,2
amido modificato di mais,416,moderate,2
pyridoxine hcl,415,moderate,2
rum,415,moderate,2
organic brown sugar,415,moderately high,3
rind,415,moderate,2
contains celery,414,moderate,2
chia,414,safe,1
degerminated yellow corn meal,414,safe,1
culture bactrienne,414,moderate,2
monk fruit,414,moderate,2
skrobia ziemniaczana,414,moderate,2
panais,413,moderate,2
leeks,413,moderate,2
pasteurised egg yolk,413,safe,1
emulgente lecitina de soja,413,moderate,2
melkeiwitten,413,moderate,2
ammonium hydrogen carbonate,412,moderate,2
antiossidante acido ascorbico,412,moderate,2
geliermittel pektin,412,moderate,2
conserveermiddelen,412,moderate,2
harina de trigo enriquecida,411,moderate,2
sodium silicoaluminate,411,moderate,2
enriched corn meal,411,safe,1
herbs and spices,411,moderate,2
crustaceans,411,moderate,2
oignons en poudre,411,moderate,2
onion and garlic powder,411,moderate,2
natural and artificial flavoring,411,moderate,2
sirop de riz,411,moderate,2
soja et fruits coque,411,moderate,2
vegetable monoglycerides,410,moderate,2
source of iron,410,moderate,2
farine de fve,410,moderate,2
sel nitrit pour saumure,410,moderate,2
cloruro de sodio,409,moderate,2
glycosides de stviol,409,moderate,2
fruit de la passion,409,moderate,2
himbeeren,409,moderate,2
cocoglucoside,409,moderate,2
kruiden en specerijen,409,moderate,2
boter,409,moderate,2
rook,409,moderate,2
hypromellose,408,moderate,2
flour treatment agent ascorbic acid,408,safe,1
acidifier citric acid,408,moderate,2
organic inulin,408,moderate,2
protines lactiques,408,moderate,2
encereal,408,moderate,2
farine de ble malt,407,moderate,2
oeuf entier,407,moderate,2
suerungsmittel essigsure,407,moderate,2
kokosnussl,407,moderate,2
backhefe,407,moderate,2
joghurt mild,407,moderate,2
kichererbsen,407,moderate,2
fosfato monoclcico,406,moderate,2
enriched wheat flour bleached,406,safe,1
organic sesame seeds,406,safe,1
fleur de sel,406,moderate,2
glutine di frumento,406,moderate,2
nutrition facts to be completed,406,moderate,2
panna,405,moderate,2
cipolle,405,moderate,2
raw cane sugar,405,moderately high,3
cooked rice,405,safe,1
mono y diglicridos de cidos grasos,405,moderate,2
organic apple puree,405,safe,1
sweetened dried cranberries,405,moderate,2
cacau em p,405,moderate,2
citroen,405,moderate,2
lait partiellement crm,405,moderate,2
chlorhydrate de pyridoxine,404,moderate,2
fennel seed,404,safe,1
onion juice concentrate,404,moderate,2
rice wine,404,safe,1
in vernderlichen gewichtsanteilen,404,moderate,2
liquid whole egg,404,safe,1
xantangummi,403,moderate,2
vodka,403,moderate,2
with added calcium,403,moderate,2
liebstckel,403,moderate,2
kuhinjska sol,403,moderate,2
ennaturalflavouring,403,moderate,2
kaliumchlorid,402,moderate,2
semi di sesamo,402,moderate,2
glukoosisiirappi,402,moderate,2
sulfate de manganse,401,moderate,2
cassia,401,moderate,2
saborizantes naturales,401,moderate,2
colored with,401,moderate,2
habanero peppers,401,moderate,2
organic evaporated cane sugar,401,moderately high,3
corn grits,400,safe,1
organic tomato juice,400,safe,1
dry whey,400,moderate,2
carrot concentrate,400,moderate,2
fresh onions,400,moderate,2
levedura,400,moderate,2
koen,400,moderate,2
vehnjauho,400,moderate,2
gasificante,399,moderate,2
cheeses,399,moderate,2
spelt,399,moderate,2
trennmittel,399,moderate,2
vegetable mono and diglycerides,398,moderate,2
lecithine de soja,398,moderate,2
sorbic acid as a preservative,398,moderately high,3
extrait de carotte,398,moderate,2
organic apple,398,safe,1
essigsure,398,moderate,2
bifidobacterium lactis,397,moderate,2
rendered chicken fat,397,safe,1
calcium disodium edta added to protect flavor,397,hazardous,4
fdc red no,397,moderate,2
full cream milk powder,397,moderate,2
gelling agent pectin,397,moderate,2
pork gelatine,397,moderate,2
glicerol,397,moderate,2
lactate de calcium,397,moderate,2
black pepper powder,397,moderate,2
de moutarde,397,moderate,2
arme naturel de menthe,397,moderate,2
melbehandlingsmiddel,396,moderate,2
paississant e,396,moderate,2
ascorbic acid added as a dough conditioner,396,safe,1
natursauerteig,396,moderate,2
potassium sorbate added to maintain freshness,396,moderate,2
ferric pyrophosphate,396,moderate,2
girassol,396,moderate,2
magere melk,396,moderate,2
lcithine,395,moderate,2
roggen,395,moderate,2
brominated vegetable oil,395,hazardous,4
emulsificantes,395,moderate,2
bifidobacterium,395,moderate,2
senfkrner,395,moderate,2
fibres dagrumes,395,moderate,2
acido folico,394,moderate,2
kokosolje,394,moderate,2
cocos nucifera,394,moderate,2
patate douce,394,moderate,2
tomatillos,394,moderate,2
aubergine,394,moderate,2
sodium selenate,394,moderate,2
naturlig arom,394,moderate,2
hopfenextrakt,394,moderate,2
maisgrie,394,moderate,2
viande et gras de porc,394,moderate,2
chicken base,393,safe,1
whey milk,393,safe,1
source of zinc,393,moderate,2
sesame seed oil,393,moderate,2
dietary fiber,393,moderate,2
carmins,393,moderate,2
flte,392,moderate,2
dried cherries,392,moderate,2
hydrolyzed soy and corn protein,392,safe,1
chou,392,moderate,2
rahm,392,moderate,2
champignon,392,moderate,2
lin,392,moderate,2
mulsifiant lcithine,391,moderate,2
reduced mineral whey powder,391,moderate,2
extrait de curcuma,391,moderate,2
condimente,391,moderate,2
modifisert maisstivelse,390,moderate,2
preserve freshness,390,moderate,2
grape juice from concentrate,390,moderate,2
lutine,390,moderate,2
stabilisant e,390,moderate,2
less than corn syrup,390,moderately high,3
maltodextrine de mas,390,moderate,2
foie gras de canard du sudouest,390,moderate,2
chicken powder,389,moderate,2
vegetable,389,moderate,2
propionic acid,389,moderate,2
olio extravergine di oliva,389,moderate,2
skrobia,389,moderate,2
organic corn,389,safe,1
palm andor canola oil,389,moderate,2
refined palm oil,389,moderate,2
potenciador del sabor,389,moderate,2
sel comestible,389,moderate,2
spinat,388,moderate,2
organo,388,moderate,2
phosphate,388,moderately high,3
dairy product solids,388,moderate,2
organic cumin,388,safe,1
edamame,388,moderate,2
cod,388,moderate,2
maltit,388,moderate,2
soj,387,moderate,2
lecitina di soia,387,moderate,2
turmeric color,387,safe,1
guarana seed extract,387,moderate,2
organic oat fiber,387,safe,1
calcium phosphates,387,moderate,2
penaeus vannamei,387,moderate,2
sonnenblumen,387,moderate,2
gedroogde glucosestroop,387,moderate,2
sorbitols,387,moderate,2
livche,387,moderate,2
kaliumsorbaat e,387,moderate,2
vinegar solids,386,moderate,2
red kidney beans,386,moderate,2
ripe olives,386,moderate,2
natural vitamin e,386,moderate,2
organic stevia leaf extract,386,moderate,2
huevos,385,moderate,2
dattes,385,moderate,2
organic flavor,385,moderate,2
includes blue lake,385,moderate,2
organic cilantro,385,moderate,2
palm fruit oil,385,moderate,2
rozemarijn,385,moderate,2
rismel,384,moderate,2
sweetcream buttermilk,384,moderate,2
elderberry juice concentrate,384,moderate,2
concentrated crushed tomatoes,384,moderate,2
butylene glycol,384,moderate,2
raising agents diphosphates,384,moderate,2
glten,384,moderate,2
barley malt flour,383,safe,1
walnut,383,safe,1
palm fruit,383,moderate,2
turkey breast meat,383,moderate,2
sitruunahappo,383,moderate,2
stningsmedel,383,moderate,2
levedantes,383,moderate,2
green dot,383,moderate,2
tarwemoutmeel,382,moderate,2
red quinoa,382,safe,1
powdered cellulose to prevent caking,382,moderate,2
organic cornstarch,382,moderate,2
sheeps milk,382,safe,1
sodium fluoride,382,moderate,2
made in france,382,moderate,2
pinard,381,moderate,2
blueberry juice concentrate,381,moderate,2
protein,381,moderate,2
potassium sorbate and calcium disodium edta,381,hazardous,4
organic cranberries,381,moderate,2
cranberry juice,381,moderate,2
guanylate disodique,381,moderate,2
matire grasse du lait,381,moderate,2
reissirup,381,moderate,2
potato maltodextrin,380,moderately high,3
microbieel stremsel,380,moderate,2
creamer,380,moderate,2
syrup,380,moderate,2
capsicum,380,safe,1
annatto and turmeric,380,moderate,2
pasteurized sheeps milk,380,safe,1
calcium iodate,380,moderate,2
enfruit,380,moderate,2
pomegranate juice concentrate,379,moderate,2
ammonium chloride,379,moderate,2
korianderzaad,379,moderate,2
mulsifiants mono et diglycrides dacides gras,379,moderate,2
farge,378,moderate,2
roasted red peppers,378,moderate,2
stabilisator triphosphate,378,moderately high,3
extracto de malta de cebada,378,moderate,2
cellulose powder,377,moderate,2
minced garlic,377,safe,1
mononitrato de tiamina,377,moderate,2
organic coconut milk,377,safe,1
dried coconut,377,safe,1
chilipulver,377,moderate,2
organic broccoli,377,moderate,2
jus de citron vert,377,moderate,2
peautre,377,moderate,2
prodn aroma,377,moderate,2
talc,376,moderate,2
colecalciferol,376,moderate,2
grapefruit,376,moderate,2
azcar de caa,376,moderate,2
light cream,376,safe,1
guar hydroxypropyltrimonium chloride,376,moderate,2
soya protein,376,moderate,2
oligofruktose,376,moderate,2
palm oil shortening,375,moderate,2
amidon de mais modifi,375,moderate,2
annatto norbixin,375,moderate,2
pork stock,375,moderate,2
mirin,375,moderate,2
bakkerszout,374,moderate,2
durum semolina,374,moderate,2
leche desnatada,374,moderate,2
inosinate disodique,374,moderate,2
mandarine,374,moderate,2
uf entier,374,moderate,2
pure,373,moderate,2
laktase,373,moderate,2
th vert,373,moderate,2
yoghurt,373,moderate,2
jarabe de maz de alta fructosa,372,moderate,2
partially hydrogenated palm oil,372,hazardous,4
organic oat flour,372,safe,1
cooked chicken meat,372,safe,1
sirop de mas,372,moderate,2
fibre de pois,372,moderate,2
bulking agent,371,moderate,2
matire grasse laitire,371,moderate,2
green chile peppers,371,moderate,2
fibres alimentaires,371,moderate,2
starterkulturen,371,moderate,2
linseed,371,moderate,2
fenchel,371,moderate,2
milchsurekulturen,371,moderate,2
fruit juice concentrate,370,moderate,2
contains barley,370,safe,1
contains less than of the following salt,370,safe,1
pecan,370,moderate,2
mascarpone,370,moderate,2
succo di limone,370,moderate,2
tierisches lab,370,moderate,2
cibule,370,moderate,2
organic olive oil,369,moderate,2
caramel aromatique,369,moderate,2
dry roasted almonds,369,moderate,2
white chicken meat,369,safe,1
mulsifiants e,369,moderate,2
organic blueberries,369,moderate,2
contains or less of the following soybean oil,369,moderate,2
enriched bleached flour wheat flour,369,safe,1
propionato de calcio,369,moderate,2
extrakt aus rosmarin,369,moderate,2
pure de pomme,369,moderate,2
sirop de fructose,368,moderately high,3
prsure microbienne,368,moderate,2
caramelo,368,moderate,2
graines de pavot,368,moderate,2
sojabloem,367,moderate,2
buckwheat flour,367,moderate,2
barwnik,367,moderate,2
organic banana puree,367,safe,1
bevat melk,367,moderate,2
affermissant chlorure de calcium,367,moderate,2
frumento,367,moderate,2
navets,367,moderate,2
concentrated butter,366,safe,1
arome naturel de vanille,366,moderate,2
