ingredient,frequency,harm_level,harm_score
crustac,659,moderate,2
frischkse,659,moderate,2
lait crm reconstitu,658,moderate,2
caramelised sugar,657,moderately high,3
konservierungsstoff kaliumsorbat,657,moderate,2
vitamina e,656,moderate,2
piment de cayenne,656,moderate,2
amaranth,655,hazardous,4
fruktose,655,moderate,2
filling,655,moderate,2
berzugsmittel,655,moderate,2
caramel colour,655,moderately high,3
egg white powder,654,moderate,2
organic chia seeds,654,safe,1
fermented wheat flour,654,safe,1
aromas naturales,654,moderate,2
lettuce,654,moderate,2
maple sugar,653,moderately high,3
feuchthaltemittel glycerin,653,moderate,2
speisegelatine,652,moderate,2
cultured wheat starch,652,moderate,2
saumon,652,moderate,2
frgmne,652,moderate,2
vinagre de alcohol,652,moderate,2
fruit juice,651,moderate,2
dried egg whites,651,safe,1
fibres de bl,651,moderate,2
contains or less of the following salt,651,safe,1
to retard spoilage,651,moderate,2
gomme base,651,moderate,2
lleucine,650,moderate,2
alkohol,650,moderate,2
happamuudenstaine,650,moderate,2
jus de tomates,650,moderate,2
tomaat,650,moderate,2
sucre roux,649,moderate,2
anhydrous milk fat,648,safe,1
antioxydant e,648,moderate,2
vegetable gums,648,moderate,2
enplantbasedfoods,648,moderate,2
sirop de glucose de bl,647,moderately high,3
zoetstof,647,moderate,2
capers,647,moderate,2
whole wheat,646,safe,1
haferflocken,646,moderate,2
organic brown rice,645,safe,1
wheat protein isolate,645,safe,1
arachide,645,moderate,2
jalapenos,645,moderate,2
lait en poudre crm,645,moderate,2
gomme de xanthane,645,moderate,2
textured vegetable protein,644,moderate,2
acidifier,644,moderate,2
viande de buf,644,moderate,2
citroenzuur e,644,moderate,2
instant coffee,643,safe,1
spice extractive,643,safe,1
from concentrate,643,moderate,2
sureregulator citronensure,643,moderate,2
cashew,642,safe,1
organic sunflower seeds,642,moderate,2
nutritional yeast,642,moderate,2
adipic acid,642,moderate,2
aneth,642,moderate,2
invertsuikerstroop,641,moderate,2
cetyl alcohol,641,moderate,2
artificial flavoring,641,moderate,2
room,641,moderate,2
macis,641,moderate,2
canela,641,moderate,2
en proportion variable,641,moderate,2
organic milk,640,safe,1
pea starch,640,moderate,2
kakaosmr,640,moderate,2
girasole,640,moderate,2
gelificante,639,moderate,2
grapes,639,moderate,2
to protect color,639,moderate,2
citroensap,639,moderate,2
kokosnuss,638,moderate,2
tuszcz kakaowy,638,moderate,2
ammonium carbonates,637,moderate,2
lait concentr sucr,637,moderate,2
ham,637,moderate,2
jus dorange,637,moderate,2
contains one or more of the following canola oil,636,moderate,2
kreuzkmmel,636,moderate,2
pimentn,636,moderate,2
vinaigre de vin rouge,636,moderate,2
food starch,635,moderate,2
salvado de trigo,635,moderate,2
taurin,635,moderate,2
white rice,634,safe,1
thon,634,moderate,2
sunflower kernels,634,moderate,2
degerminated yellow corn flour,634,safe,1
amidon de pommes de terre,634,moderate,2
paississant carraghnanes,634,moderate,2
cayenne,633,moderate,2
erdnsse,632,moderate,2
onion extract,632,moderate,2
blackberries,632,moderate,2
estratto di malto dorzo,632,moderate,2
eau de source,632,moderate,2
epkov olej,632,moderate,2
organic basil,631,moderate,2
tapiokastrke,631,moderate,2
to maintain color,630,moderate,2
aronia,630,moderate,2
prei,630,moderate,2
l casei,629,moderate,2
ivvz,629,moderate,2
enriched unbleached flour,629,moderate,2
organic evaporated cane juice,628,moderate,2
potassium hydroxide,628,moderate,2
enriched macaroni product,628,moderate,2
lowmoisture partskim mozzarella cheese,628,safe,1
rindfleisch,628,moderate,2
fructosa,627,moderate,2
coconut extract,627,moderate,2
chicken flavor,627,moderate,2
solrosolja,626,moderate,2
protease,625,moderate,2
pectins,625,moderate,2
yaourt,625,moderate,2
sunflower seed oil,624,moderate,2
erbsenprotein,624,moderate,2
mushroom,623,moderate,2
glucosefructose,623,moderate,2
carbonate de sodium,623,moderate,2
dried egg white,622,safe,1
sojasauce,622,moderate,2
chilipeper,622,moderate,2
apfelsaftkonzentrat,621,moderate,2
capryliccapric triglyceride,620,moderate,2
seasoning blend,620,moderate,2
citric,620,moderate,2
huile de canola,619,moderate,2
almendras,619,moderate,2
joghurt,619,moderate,2
mulsifiant lcithines de tournesol,619,moderate,2
komijn,618,moderate,2
agave syrup,617,moderate,2
annatto extract color,617,moderate,2
pfel,617,moderate,2
vin,617,moderate,2
aceto di vino,617,moderate,2
olej sonecznikowy,617,moderate,2
sodium polyphosphate,616,moderately high,3
skrobia modyfikowana,616,moderate,2
fromage blanc,615,moderate,2
single cream,615,safe,1
white grape juice concentrate,614,moderate,2
organic spinach,613,safe,1
concentr de jus de citron,613,moderate,2
kakao,613,moderate,2
organic pea protein,611,moderate,2
extractive of paprika,611,moderate,2
cherry juice concentrate,610,moderate,2
anthocyanes,610,moderate,2
organic celery,610,moderate,2
vinaigre de cidre,610,moderate,2
smoke flavouring,610,moderate,2
huile dolive extra vierge,609,moderate,2
titanium dioxide color,609,hazardous,4
